customerRowGuid	Dynamics Id
3CEF570C-26DD-478E-9F28-015037841EE2	016c3f4b-1be7-e611-8101-e0071b6af231
442E8FAB-631A-4156-B780-01BDD15101C6	036c3f4b-1be7-e611-8101-e0071b6af231
3E93DFD8-6CB5-483E-BC6D-03863E8C7A94	056c3f4b-1be7-e611-8101-e0071b6af231
24DD641B-BFDE-400B-B7DC-03F15AEC289B	096c3f4b-1be7-e611-8101-e0071b6af231
444264CC-2302-496C-9C09-04EA874606E4	0b6c3f4b-1be7-e611-8101-e0071b6af231
7E72D957-CA34-4AEB-9213-1302D24A949F	0d6c3f4b-1be7-e611-8101-e0071b6af231
79B9BB1C-3636-4A53-A926-1480E8DE619F	0f6c3f4b-1be7-e611-8101-e0071b6af231
2B2B0574-1062-4867-A352-18198B0F271A	116c3f4b-1be7-e611-8101-e0071b6af231
789F3CEE-056D-48CB-8805-1F69B61D020F	136c3f4b-1be7-e611-8101-e0071b6af231
EABBFE01-5FDB-41E0-9101-24E8E7F1EDAE	156c3f4b-1be7-e611-8101-e0071b6af231
7E240EFC-7EE6-4814-93A8-269821157E18	176c3f4b-1be7-e611-8101-e0071b6af231
E1303F65-4B3C-4B5D-8D7A-2842C7AE82BD	196c3f4b-1be7-e611-8101-e0071b6af231
32E772F5-14E1-436F-BBF5-2B9081071D15	1b6c3f4b-1be7-e611-8101-e0071b6af231
67FCFC2C-8E14-45E7-B72D-2D4D7558C454	1d6c3f4b-1be7-e611-8101-e0071b6af231
2AA52DC6-2AE5-4729-9620-2D58100D2C6A	1f6c3f4b-1be7-e611-8101-e0071b6af231
02859F8C-2DEA-435A-9B12-2F07F5C1B399	2123455d-be62-e411-80d6-b4b52f567ec8
C353FE38-6147-40A3-944D-3736F6297B8C	216c3f4b-1be7-e611-8101-e0071b6af231
041C42B9-857B-4B3F-B314-3BF29999AD48	236c3f4b-1be7-e611-8101-e0071b6af231
D65120D2-3395-4491-BC93-41A31F0AE0B3	276c3f4b-1be7-e611-8101-e0071b6af231
0C6B3FA2-F1D8-4764-B97F-441CFA090562	2b6c3f4b-1be7-e611-8101-e0071b6af231
13D0619F-0C25-455A-A825-46F566DC7F65	475b158c-541c-e511-80d3-3863bb347ba8
CB6B9285-24EE-4795-8A96-499A11746331	93c71621-bd9f-e711-8122-000d3a2ba2ea
2477B33C-986B-48D4-8F1B-4B1F36691DB2	a16b3f4b-1be7-e611-8101-e0071b6af231
A1C46F6F-5DCE-4486-B62E-4B55BEB2347A	a56b3f4b-1be7-e611-8101-e0071b6af231
342A410B-A8C0-46AD-A149-4C1EBCCE5A87	a8a19cdd-88df-e311-b8e5-6c3be5a8b200
A55CBF14-E688-4EB8-8AF4-4C9550592301	aaa19cdd-88df-e311-b8e5-6c3be5a8b200
14036D92-CE29-4270-9C7C-51C8B443DD30	aca19cdd-88df-e311-b8e5-6c3be5a8b200
9DD00331-CD15-46FB-8174-53CE82E7698E	ad6b3f4b-1be7-e611-8101-e0071b6af231
E62A4E9F-FF47-419B-9A27-54B849611F87	aea19cdd-88df-e311-b8e5-6c3be5a8b200
D906E504-7A4C-442A-8204-55CDCA78AFB8	af6b3f4b-1be7-e611-8101-e0071b6af231
8117CD8D-A162-4C62-89E9-5762B231CF00	b0a19cdd-88df-e311-b8e5-6c3be5a8b200
9FAE8962-2C84-487E-BA11-63FBE7442A70	b16b3f4b-1be7-e611-8101-e0071b6af231
ED4E7B22-2EB5-4002-B119-6431891D4258	b2a19cdd-88df-e311-b8e5-6c3be5a8b200
C3057568-1851-4728-AEAE-65683458F474	b4a19cdd-88df-e311-b8e5-6c3be5a8b200
83DE2678-7DBC-4B56-9EC6-682CE7652FF3	b56b3f4b-1be7-e611-8101-e0071b6af231
45715DD8-2F57-4A39-BEB4-6A8F99D59794	b6a19cdd-88df-e311-b8e5-6c3be5a8b200
F21027CE-0506-4EB6-98D6-6D4E08F7087E	b76b3f4b-1be7-e611-8101-e0071b6af231
44820540-5A1E-42B8-8029-6E255E3E0AA0	b8a19cdd-88df-e311-b8e5-6c3be5a8b200
C994CD65-AC9D-4560-909C-6F2090A516FF	baa19cdd-88df-e311-b8e5-6c3be5a8b200
CE40D69C-5141-4B37-921F-749C22722B9F	bb6b3f4b-1be7-e611-8101-e0071b6af231
BB13C124-5489-422C-82C7-76E9C99A69FD	bca19cdd-88df-e311-b8e5-6c3be5a8b200
08D4377D-3390-4F2E-AAF9-79A498702C14	bd6b3f4b-1be7-e611-8101-e0071b6af231
